id	path
bed-hg38-macs2-peaks-H3K27ac-thymus	["out/bedtools/merge/sort/coordinates_bed/cat/hg38-macs2-peaks-H3K27ac-thymus.bed"]
bed-GRCh38-main-chr	["out/awk/chromInfo_to_bed3/awk/extract_main_chr/gunzip/to-stdout/rsync/ucsc/goldenPath/hg38/database/chromInfo.bed"]
bed-hg38-main-chr	["out/awk/chromInfo_to_bed3/awk/extract_main_chr/gunzip/to-stdout/rsync/ucsc/goldenPath/hg38/database/chromInfo.bed"]
bed-hg19-main-chr	["out/awk/chromInfo_to_bed3/awk/extract_main_chr/gunzip/to-stdout/rsync/ucsc/goldenPath/hg19/database/chromInfo.bed"]
bed-GRCm38-main-chr	["out/sed/remove_chr/awk/chromInfo_to_bed3/awk/extract_main_chr/gunzip/to-stdout/rsync/ucsc/goldenPath/mm10/database/chromInfo.bed"]
bed-mm10-main-chr	["out/awk/chromInfo_to_bed3/awk/extract_main_chr/gunzip/to-stdout/rsync/ucsc/goldenPath/mm10/database/chromInfo.bed"]
bed-mm9-main-chr	["out/awk/chromInfo_to_bed3/awk/extract_main_chr/gunzip/to-stdout/rsync/ucsc/goldenPath/mm9/database/chromInfo.bed"]
bed-hg19-refgene-exons	["out/perl/extract_exons/refgene-hg19.bed"]
bed-hg38-atac-peaks-from-wilson-cd34-ec	out/ln/alias/experiments/hg38_atac_peaks_from_wilson/CD34-EC.bed
# does not work because of error 2002 :(	
bed-mm10-genes	["out/mysql/ucsc_get_ensGene_D-mm10/ensGene.bed"]
bed-hg38-ensembl-r93-tss	["out/sort/coordinates_bed/gtftk/get_5p_3p_coords/sed/add_chr/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/release-93/gtf/homo_sapiens/Homo_sapiens.GRCh38.93.bed"]
bed-hg19-ensembl-r87-tss-protein-coding	["out/sort/coordinates_bed/gtftk/get_5p_3p_coords/sed/add_chr/gtftk/select_by_key_key-transcript_biotype_value-protein_coding/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/grch37/release-87/gtf/homo_sapiens/Homo_sapiens.GRCh37.87.bed"]
bed-hg19-ensembl-r87-tss-protein-coding-gene-name	["out/sort/coordinates_bed/gtftk/get_5p_3p_coords_-n_gene_name/sed/add_chr/gtftk/select_by_key_key-transcript_biotype_value-protein_coding/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/grch37/release-87/gtf/homo_sapiens/Homo_sapiens.GRCh37.87.bed"]
bed-hg38-ensembl-r93-tss-protein-coding	["out/sort/coordinates_bed/gtftk/get_5p_3p_coords/sed/add_chr/gtftk/select_by_key_key-transcript_biotype_value-protein_coding/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/release-93/gtf/homo_sapiens/Homo_sapiens.GRCh38.93.bed"]
bed-mm10-ensembl-r99-tss-protein-coding	["out/sort/coordinates_bed/gtftk/get_5p_3p_coords/sed/add_chr/gtftk/select_by_key_key-transcript_biotype_value-protein_coding/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/release-99/gtf/mus_musculus/Mus_musculus.GRCm38.99.bed"]
bed-hg38-ensembl-r93-tss-protein-coding-TR-IG	["out/sort/coordinates_bed/gtftk/get_5p_3p_coords/sed/add_chr/gtftk/select_by_key_key-transcript_biotype_file-with-values-txt-gtf-values-protein-coding-TR-IG/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/release-93/gtf/homo_sapiens/Homo_sapiens.GRCh38.93.bed"]
# from input_bed_pyatac_vplot	
bed-WT	["out/awk/extract_xls_coordinates_to_bed3/macs2/callpeak_broad_BAMPE_mm_SPMRTrue/bam/mm9/merge_run140_run141/H4K5ac-Nut-WT_over_Input-Nut-WT_peaks.bed"]
bed-KO	["out/awk/extract_xls_coordinates_to_bed3/macs2/callpeak_broad_BAMPE_mm_SPMRTrue/bam/mm9/merge_run140_run141/H4K5ac-Nut-KO_over_Input-Nut-KO_peaks.bed"]
bed-mm9-knownGene	["inp/annotation/input/feature/mm9/knownGene.bed"]
bed-mm9-nuc-c-wt-danpos-maxfuz-40-minsmt-200	["out/awk/extract_danpos_pos_to_bed_maxfuz-40_minsmt-200/danpos/dtriple_v4/samtools/merge/samtools/sort/samtools/view_bSh/bowtie2/pe_mm9/ln/paired_end_remove_mate_prefix/fastx_toolkit/fastx_trimmer_l-30/gunzip/merge_lanes_nextseq500_paired_end/inp/fastq/run113_run125_run126/MNS-SC-WT/danpos.smooth.positions.bed"]
bed-mm9-ss-c-wt-danpos-maxfuz-35-minsmt-600	["out/awk/extract_danpos_pos_to_bed_maxfuz-35_minsmt-600/danpos/dtriple_v4/samtools/merge/samtools/sort/samtools/view_bSh/bowtie2/pe_mm9/ln/paired_end_remove_mate_prefix/fastx_toolkit/fastx_trimmer_l-30/gunzip/merge_lanes_nextseq500_paired_end/inp/fastq/run113_run125_run126/PSK-SC-WT/danpos.smooth.positions.bed"]
bed-mm9-nuc-c-wt-danpos-maxfuz-50-minsmt-400	["out/awk/extract_danpos_pos_to_bed_maxfuz-50_minsmt-400/danpos/dtriple_v4/samtools/merge/samtools/sort/samtools/view_bSh/bowtie2/pe_mm9/ln/paired_end_remove_mate_prefix/fastx_toolkit/fastx_trimmer_l-30/gunzip/merge_lanes_nextseq500_paired_end/inp/fastq/run113_run125_run126/MNS-SC-WT/danpos.smooth.positions.bed"]
bed-mm9-nuc-s-wt-danpos-band1-maxfuz-55-minsmt-300	["out/awk/extract_danpos_pos_to_bed_maxfuz-55_minsmt-300/danpos/dtriple_v4/samtools/merge/samtools/sort/samtools/view_bSh/java/select_subpopulations_from_bam_lmin-130_lmax-170/samtools/sort/samtools/view_bSh/bowtie2/pe_mm9/ln/paired_end_remove_mate_prefix/fastx_toolkit/fastx_trimmer_l-30/gunzip/merge_lanes_nextseq500_paired_end/inp/fastq/run163_run167/MNase_Spm_WT_band1/danpos.smooth.positions.bed"]
bed-mm9-ss-s-wt-danpos-band2-maxfuz-55-minsmt-300	["out/awk/extract_danpos_pos_to_bed_maxfuz-55_minsmt-300/danpos/dtriple_v4/samtools/merge/samtools/sort/samtools/view_bSh/java/select_subpopulations_from_bam_lmin-30_lmax-100/samtools/sort/samtools/view_bSh/bowtie2/pe_mm9/ln/paired_end_remove_mate_prefix/fastx_toolkit/fastx_trimmer_l-30/gunzip/merge_lanes_nextseq500_paired_end/inp/fastq/run163_run167/MNase_Spm_WT_band2/danpos.smooth.positions.bed"]
bed-mm9-ss-s-wt-danpos-band2-maxfuz-40-minsmt-500	["out/awk/extract_danpos_pos_to_bed_maxfuz-40_minsmt-500/danpos/dtriple_v4/samtools/merge/samtools/sort/samtools/view_bSh/java/select_subpopulations_from_bam_lmin-30_lmax-100/samtools/sort/samtools/view_bSh/bowtie2/pe_mm9/ln/paired_end_remove_mate_prefix/fastx_toolkit/fastx_trimmer_l-30/gunzip/merge_lanes_nextseq500_paired_end/inp/fastq/run163_run167/MNase_Spm_WT_band2/danpos.smooth.positions.bed"]
bed-mm9-cpgIslandExt	["out/awk/extract_main_chr/awk/cpgIslandExt_txt_to_bed3/gunzip/to-stdout/rsync/ucsc/goldenPath/mm9/database/cpgIslandExt.bed"]
bed-mm9-cpgIslandExt-lmin-200-lmax-250	["out/awk/select_subpopulations_from_bed_lmin-200_lmax-250/awk/extract_main_chr/awk/cpgIslandExt_txt_to_bed3/gunzip/to-stdout/rsync/ucsc/goldenPath/mm9/database/cpgIslandExt.bed"]
# from input_bed_gfold_count	
bed-h4k5ac-peaks	["out/awk/fill_bed3_to_bed6/bedtools/merge/sort/coordinates_bed/cat/mm10_nut_wt_ko_h4k5ac_peaks.bed"]
bed-repeat-masker	["inp/annotation/input/feature/mm10/repeatMasker.bed"]
bed-mm10-rmsk	["out/awk/extract_bed6_from_rmsk/gunzip/to-stdout/rsync/ucsc/goldenPath/mm10/database/rmsk.bed"]
bed-mm9-P5424-K27ac-WT-KO-IK-peaks	["out/awk/fill_bed3_to_bed6/bedtools/merge/sort/coordinates_bed/cat/mm9-P5424-K27ac-WT-KO-IK-peaks.bed"]
