id	path
fa-genome-BDGP6	["out/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/release-100/fasta/drosophila_melanogaster/dna/Drosophila_melanogaster.BDGP6.28.dna_sm.toplevel.fa"]
fa-genome-R64-1-1	["out/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/release-100/fasta/saccharomyces_cerevisiae/dna/Saccharomyces_cerevisiae.R64-1-1.dna_sm.toplevel.fa"]
fa-genome-mm9	["out/tar/xvzf_igenome/Mus_musculus/UCSC/mm9/Sequence/WholeGenomeFasta/genome.fa"]
fa-genome-mm10	["out/tar/xvzf_igenome/Mus_musculus/UCSC/mm10/Sequence/WholeGenomeFasta/genome.fa"]
fa-genome-GRCm38	["out/cat/assembly_ensembl/GRCm38.fa"]
# 2021-03-22
# Add GRCm39 genome
fa-genome-GRCm39	["out/cat/assembly_ensembl/GRCm39.fa"]
#fa-genome-GRCh38	["out/samtools/faidx/cat/assembly_ensembl/GRCh38.fa"]
#TODO: update all fa-genome paths to include "meta/index_fa"
fa-genome-GRCh38	["out/meta/index_fa/cat/assembly_ensembl/GRCh38.fa"]
fa-genome-GRCh38-ensembl-r100	["out/meta/index_fa/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/release-100/fasta/homo_sapiens/dna/Homo_sapiens.GRCh38.dna_sm.toplevel.fa"]
fa-genome-hg38	["out/meta/index_fa/sed/add-chr-in-fa/cat/assembly_ensembl/GRCh38.fa"]
fa-genome-GRCh37	["out/cat/assembly_ensembl/GRCh37.fa"]
fa-genome-NCBIM37	["out/sed/rm-chr-in-fa/cat/assembly_ensembl/NCBIM37.fa"]
fa-genome-hg19-main-chr	["out/samtools/faidx/cat/cat-assembly-ensembl/hg19.fa"]
fa-genome-GRCm38-main-chr	["out/cat/assembly_ensembl/GRCm38-main-chr.fa"]
fa-genome-GRCh38-main-chr	["out/cat/assembly_ensembl/GRCh38-main-chr.fa"]
fa-genome-GRCh38-Blueprint	["out/gunzip/to-stdout/wget/ftp/ftp.ebi.ac.uk/pub/databases/blueprint/reference/20150407_reference_files/GRCh38_no_alt_analysis_set.201503031.fa"]
fa-genome-GRCh38-BP-BS-protocol	["out/wget/ftp/ftp.ncbi.nlm.nih.gov/genomes/archive/old_genbank/Eukaryotes/vertebrates_mammals/Homo_sapiens/GRCh38/seqs_for_alignment_pipelines/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz"]
fa-genome-GRCh38-r94-chr1	["out/samtools/faidx/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/release-94/fasta/homo_sapiens/dna/Homo_sapiens.GRCh38.dna_sm.chromosome.1.fa"]
fa-genome-GRCh38-r94-main-chr	expand("out/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/release-94/fasta/homo_sapiens/dna/Homo_sapiens.GRCh38.dna_sm.chromosome.{chr}.fa", chr=HUMAN_MAIN_CHR_ENSEMBL)
fa-genome-GRCh38-r95-chr22	["out/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/release-95/fasta/homo_sapiens/dna/Homo_sapiens.GRCh38.dna_sm.chromosome.22.fa"]
fa-genome-hg19-contigs-with-insert-in-T11C-H3K27ac	["out/awk/indel_workflow_sam_to_fasta/bowtie2/se_fasta_--rfg_1,1_-k_1_-q_-f_hg19/edena/assembling_-d_20_-c_20_-minCoverage_5/edena/overlapping/gunzip/to-stdout/ln/alias/sst/all_samples/fastq/T11C_H3K27ac_contigs.fa"]
fa-genome-hg19-main-chr-and-contigs-with-insert-in-T11C-H3K27ac	["out/cat/cat-hg19-main-chr-and-contigs-with-insert-in-T11C-H3K27ac.fa"]
fa-genome-hg19-main-chr-and-contigs-with-insert-in-T11C-H3K27ac-v2	["out/meta/index_fa/bwa/aggregate_fa_genome_and_sam_contigs_with_inserts_fa-genome-hg19-main-chr/bowtie2/se_fasta_--rfg_1,1_-k_1_-q_-f_hg19/edena/assembling_-d_20_-c_20_-minCoverage_5/edena/overlapping/gunzip/to-stdout/ln/alias/sst/all_samples/fastq/T11C_H3K27ac_contigs.fa"]
