id	path
gff-GRCm38	["out/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/release-91/gff3/mus_musculus/Mus_musculus.GRCm38.91.gff3"]
gff-mm10	["out/sed/add_chr/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/release-91/gff3/mus_musculus/Mus_musculus.GRCm38.91.gff3"]
gff-mm10-chr1	["out/awk/extract_chr1/sed/add_chr/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/release-91/gff3/mus_musculus/Mus_musculus.GRCm38.91.gff3"]
gff-GRCm38-Ensembl-91-chr19	["out/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/release-91/gff3/mus_musculus/Mus_musculus.GRCm38.91.chromosome.19.gff3"]
gff-GRCm38-Ensembl-91-chr19-gene	["out/awk/extract_genes_from_gff/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/release-91/gff3/mus_musculus/Mus_musculus.GRCm38.91.chromosome.19.gff3"]
gff-mm10-Ensembl-91-chr19-gene	["out/sed/add_chr/awk/extract_genes_from_gff/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/release-91/gff3/mus_musculus/Mus_musculus.GRCm38.91.chromosome.19.gff3"]
gff-mm10-Ensembl-91-chr19-gene-chipseqspike-example-like	["out/awk/make_gff_looks_like_example_from_chipseqspike/sed/add_chr/awk/extract_genes_from_gff/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/release-91/gff3/mus_musculus/Mus_musculus.GRCm38.91.chromosome.19.gff"]
gff-mm10-Ensembl-91-gene-chipseqspike-example-like	["out/awk/make_gff_looks_like_example_from_chipseqspike/sed/add_chr/awk/extract_genes_from_gff/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/release-91/gff3/mus_musculus/Mus_musculus.GRCm38.91.gff"]
gff-hg38-Ensembl-93-gene-chipseqspike-example-like	["out/awk/make_gff_looks_like_example_from_chipseqspike/sed/add_chr/awk/extract_genes_from_gff/gunzip/to-stdout/wget/ftp/ftp.ensembl.org/pub/release-93/gff3/homo_sapiens/Homo_sapiens.GRCh38.93.gff"]
gff-mm10-microarray-upreg-ko-nut	["out/genometools/bed_to_gff3/ln/alias/microarray-upreg-ko-nut-threshold-1.5.gff"]
gff-mm10-microarray-downreg-ko-nut	["out/genometools/bed_to_gff3/ln/alias/microarray-downreg-ko-nut-threshold-1.5.gff"]
gff-mm10-brdt-peaks	["out/genometools/bed_to_gff3/awk/convert_sicer_to_bed6/awk/extract_main_chr/crossmap/bed_chain-mm9-to-mm10/gunzip/tar/xvf/data_brdt/GSM984200_4_EM2_R_BRDT-Paired.F3.no_4-W200-G600-islands-summary-FDR001.gff"]
gff-mm10-brd4-peaks	["out/genometools/bed_to_gff3/awk/convert_sicer_to_bed6/awk/extract_main_chr/crossmap/bed_chain-mm9-to-mm10/awk/extract_xls_coordinates_to_bed3/macs2/callpeak_broad_BAM_mm_SPMRTrue/samtools/sam_to_bam/bowtie2/se/mm9/GSE56526/SRR1596612_over_SRR1596620_peaks.gff"]
